entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,exit_type,bullish_bias
2024-10-29 13:15:00,2024-10-29 13:30:00,short,71216.26,71529.56285714285,-0.4399316351951908,SL,48.387096774193544
2024-10-29 13:30:00,2024-10-29 15:15:00,long,71516.17,72083.77214285715,0.7936696594031181,TGT1,80.64516129032259
2024-10-29 13:45:00,2024-10-29 14:15:00,long,71810.63,71375.63428571429,-0.6057539312574147,SL,80.64516129032259
2024-10-29 14:00:00,2024-10-29 15:45:00,long,71595.22,72309.36571428573,0.9974768068115795,TGT1,80.64516129032259
2024-10-29 14:15:00,2024-10-29 15:45:00,long,71592.3,72377.4492857143,1.0966951553648954,TGT1,80.64516129032259
2024-10-29 14:30:00,2024-10-29 16:00:00,long,71822.9,72663.62642857144,1.1705548349780477,TGT1,80.64516129032259
2024-10-29 14:45:00,2024-10-29 16:15:00,long,71864.71,72736.93642857143,1.2137061828697548,TGT1,80.64516129032259
2024-10-29 15:00:00,2024-10-29 16:15:00,long,71866.15,72725.97571428571,1.196426571182286,TGT1,80.64516129032259
2024-10-29 15:15:00,2024-10-29 16:45:00,long,71923.04,72832.45999999999,1.2644348737205746,TGT1,80.64516129032259
2024-10-29 15:30:00,2024-10-29 18:45:00,long,72192.74,73146.43785714287,1.3210439957575548,TGT1,80.64516129032259
2024-10-29 15:45:00,2024-10-29 19:00:00,long,72398.15,73388.95999999999,1.368557069483126,TGT1,80.64516129032259
2024-10-29 16:00:00,2024-10-29 19:00:00,long,72444.36,73478.58214285714,1.4276089164941697,TGT1,80.64516129032259
2024-10-29 16:15:00,2024-10-29 20:15:00,long,72690.07,71982.57714285715,-0.973300558305778,SL,80.64516129032259
2024-10-29 16:30:00,2024-10-29 20:15:00,long,72684.15,71959.53714285714,-0.9969337980052821,SL,80.64516129032259
2024-10-29 16:45:00,2024-10-29 20:15:00,long,72738.34,71989.81428571428,-1.0290662589848976,SL,80.64516129032259
2024-10-29 17:00:00,2024-10-29 20:15:00,long,72750.52,72043.22857142858,-0.9722149457782863,SL,80.64516129032259
2024-10-29 17:15:00,2024-10-29 20:00:00,long,72915.29,72244.30571428571,-0.920224394244718,SL,80.64516129032259
2024-10-29 17:30:00,2024-10-29 20:15:00,long,72720.68,72080.05428571429,-0.8809402143732795,SL,80.64516129032259
2024-10-29 17:45:00,2024-10-29 20:15:00,long,72716.14,72093.2342857143,-0.8566264852420735,SL,80.64516129032259
2024-10-29 18:00:00,2024-10-29 20:15:00,long,72794.31,72203.55714285714,-0.8115371340738798,SL,80.64516129032259
2024-10-29 18:15:00,2024-10-29 20:00:00,long,72836.17,72229.06285714285,-0.8335242543054433,SL,80.64516129032259
2024-10-29 18:30:00,2024-10-29 20:00:00,long,72933.3,72316.23142857144,-0.8460724681710065,SL,80.64516129032259
2024-10-29 18:45:00,2024-10-29 19:45:00,long,73165.77,72547.45285714287,-0.8450907341741045,SL,80.64516129032259
2024-10-29 19:00:00,2024-10-29 19:15:00,long,73557.42,72948.93142857144,-0.8272293555545626,SL,80.64516129032259
2024-10-29 19:15:00,2024-10-29 20:15:00,long,72855.2,72160.46285714286,-0.9535862132794023,SL,80.64516129032259
2024-10-29 19:30:00,2024-10-29 20:15:00,long,72664.92,71955.90857142858,-0.9757272540469631,SL,80.64516129032259
